Word,Frequency,Known
benefit,57,True
three,56,True
like,56,True
period,56,True
vinegar,56,True
bad,55,True
adult,55,True
compare,55,True
coffee,55,True
excess,54,False
produce,54,True
trial,54,True
wheat,54,False
could,53,True
cholesterol,53,True
physical,53,True
different,52,True
little,52,True
sweetener,52,False
question,52,True
meat,51,True
mean,51,True
begin,51,True
associate,51,False
fruit,51,True
hunger,51,True
normal,51,True
snack,51,False
atkins,50,False
must,50,True
simply,50,True
almost,50,True
important,50,True
drug,50,True
artificial,50,False
burn,50,True
give,49,True
men,49,True
figure,49,True
fatty,49,False
without,48,True
part,48,True
example,48,True
nutritional,48,False
hour,48,True
way,48,True
natural,48,True
leptin,48,False
understand,47,True
come,47,True
major,46,True
highly,46,True
dairy,46,False
every,45,True
true,44,True
despite,44,True
well,44,True
stress,44,True
call,44,True
corn,44,True
role,43,False
muscle,43,True
lower,43,True
difference,42,True
say,42,True
seem,42,True
brain,42,True
evidence,41,True
last,41,True
small,41,True
back,41,True
cell,41,True
epidemic,40,False
childhood,40,True
receive,40,True
program,40,True
concern,40,True
significant,40,False
still,40,True
keep,40,True
hypothesis,40,False
experience,40,True
satiety,40,False
green,40,True
nov,40,False
believe,39,True
book,38,True
turn,38,True
grain,38,True
white,38,True
six,38,True
among,38,True
happen,38,True
jun,38,False
life,37,True
medical,37,True
doctor,37,True
rather,37,True
case,37,True
late,37,True
united,37,True
play,37,True
internet,37,False
sep,37,False
treat,36,True
single,36,True
answer,36,True
long-term,36,False
mass,36,True
virtually,36,False
week,36,True
add,36,True
far,36,True
data,36,True
animal,35,True
bread,35,True
increased,35,True
tend,35,True
simple,34,True
yet,34,True
measure,34,True
let,34,True
advice,34,True
balance,34,True
system,34,True
break,34,True
release,34,True
mechanism,34,False
growth,34,True
starvation,34,False
source,34,True
trans,34,False
engl,34,False
dec,34,False
think,33,True
world,33,True
next,33,True
always,33,True
medication,33,False
several,33,True
traditional,33,False
refined,33,False
explain,32,True
low-carbohydrate,32,False
fail,32,True
term,32,True
move,32,True
decade,32,False
therefore,32,True
eating,32,True
another,32,True
form,32,True
age,32,True
rise,32,True
whole,32,True
short,32,True
similar,32,True
full,32,True
cardiovascular,32,True
secretion,32,False
jul,32,False
lack,31,True
write,31,True
milk,31,True
five,31,True
saturate,31,False
go,31,True
assumption,31,False
month,30,True
provide,30,True
common,30,True
pressure,30,True
research,30,True
review,30,False
main,30,True
guideline,30,False
strategy,30,False
attack,30,True
difficult,30,True
drop,30,True
development,30,True
lean,30,True
stimulate,30,False
mar,30,False
require,29,True
assume,29,True
north,29,True
do,29,True
whether,29,True
national,29,True
approach,29,True
stomach,29,True
glycogen,29,False
diabetic,29,False
protective,28,False
medicine,28,True
truth,28,True
end,28,True
addition,28,True
beneficial,28,False
nutrition,28,False
already,28,True
u.s.,28,False
hungry,28,True
expect,28,True
syrup,28,False
maintain,28,True
experiment,28,True
feel,28,True
big,27,True
perhaps,27,True
prove,27,True
avoid,27,True
overweight,27,False
antibiotic,27,False
cancer,27,False
relationship,27,True
extremely,27,True
cycle,27,False
basal,27,False
olive,27,False
stroke,27,True
money,27,True
significantly,27,False
broth,27,True
aug,27,False
oct,27,False
failure,26,True
best,26,True
remain,26,True
actually,26,True
appetite,26,False
continue,26,True
incretin,26,False
due,26,True
variety,26,True
jan,26,True
science,25,True
soda,25,False
care,25,True
condition,25,True
never,25,True
choice,25,True
completely,25,True
leave,25,True
idea,25,True
consume,25,False
point,25,True
slow,25,True
overeat,25,False
extra,25,True
word,25,True
feb,25,False
kidney,24,False
young,24,True
enough,24,True
sense,24,True
ultimate,24,False
standard,24,True
school,24,True
spend,24,True
particularly,24,True
million,24,True
confirm,24,False
quickly,24,True
high-fructose,24,False
participant,24,False
product,24,True
syndrome,24,True
flour,24,True
meditation,23,False
exactly,23,True
popular,23,True
modern,23,True
course,23,True
weight-loss,23,False
entire,23,True
bone,23,True
nothing,23,True
beverage,23,True
improve,23,False
though,23,True
population,23,True
nutrient,23,False
rice,23,False
sugar-sweetened,23,False
sucrose,23,True
fung,22,False
content,22,True
myth,22,True
naturally,22,True
nature,22,True
remove,22,True
tell,22,True
publish,22,False
prevalence,22,False
america,22,True
intermittent,22,True
close,22,True
public,22,True
sweet,22,True
approximately,22,False
egg,22,True
flavor,22,False
randomized,22,False
prospective,22,False
link,22,False
gram,22,False
doi,22,False
physician,21,True
intensive,21,False
stop,21,True
early,21,True
effective,21,True
production,21,True
others,21,True
quite,21,True
really,21,True
person,21,True
matter,21,True
number,21,True
replace,21,True
constant,21,True
storage,21,False
regain,21,False
salt,21,True
meta-analysis,21,False
morning,21,True
omega,21,False
jama,21,False
want,20,True
wrong,20,True
solution,20,True
man,20,True
second,20,True
lie,20,True
least,20,True
around,20,True
describe,20,True
conventional,20,False
current,20,True
university,20,False
regulate,20,False
likely,20,True
heat,20,True
taste,20,True
relatively,20,False
aha,20,False
added,20,True
chemical,20,False
recently,20,True
york,20,True
original,20,True
drive,20,True
fall,20,True
recent,20,True
protect,20,True
allow,20,True
cup,20,True
ever,19,True
excessive,19,False
focus,19,True
few,19,True
chronic,19,True
history,19,True
reason,19,True
stay,19,True
le,19,False
immediately,19,True
either,19,True
effort,19,True
within,19,True
researcher,19,False
certain,19,True
although,19,True
cold,19,True
thing,19,True
return,19,True
generally,19,True
mediterranean,19,False
dessert,19,False
poverty,18,True
management,18,True
practice,18,True
prescribe,18,False
discover,18,True
account,18,True
involve,18,True
personal,18,True
duration,18,False
ignore,18,True
thin,18,True
proximate,18,False
support,18,True
encourage,18,False
center,18,True
coronary,18,False
restrict,18,False
dinner,18,True
directly,18,True
furthermore,18,False
easy,18,True
half,18,True
low-calorie,18,False
absorption,18,True
sensitivity,18,False
beef,18,False
western,18,True
unprocessed,18,False
model,17,True
reverse,17,False
minute,17,True
restriction,17,False
contrast,17,True
opposite,17,True
usually,17,True
biological,17,False
possible,17,True
family,17,True
sound,17,True
crucial,17,True
versus,17,True
function,17,False
certainly,17,True
thermostat,17,False
throughout,17,True
fatten,17,False
government,17,True
high-protein,17,False
cereal,17,True
finding,17,True
signal,17,True
baby,17,True
pathway,17,False
thus,17,True
caloric-reduction,17,False
ten,17,True
note,17,True
deprivation,17,False
ancient,17,True
chocolate,17,True
pima,17,False
nut,17,True
address,16,True
grow,16,True
eventually,16,True
thought,16,True
understanding,16,True
consequence,16,True
obvious,16,True
everything,16,True
previously,16,True
report,16,True
butter,16,True
genetic,16,False
method,16,True
easily,16,True
community,16,True
multiple,16,True
temperature,16,True
suppose,16,True
regular,16,True
none,16,True
resistant,16,False
metformin,16,False
dos,16,False
apple,16,True
cream,16,True
margarine,16,False
look,15,True
conclude,15,False
prevent,15,True
professional,15,True
mostly,15,True
imbalance,15,False
contribute,15,False
short-term,15,False
discuss,15,True
situation,15,True
absolutely,15,True
neither,15,True
choose,15,True
seven,15,True
starch,15,False
mineral,15,True
portion,15,True
lifestyle,15,False
something,15,True
appear,15,True
hard,15,True
four,15,True
composition,15,True
load,15,True
oral,15,True
essential,15,True
systematic,15,False
whey,15,False
native,15,True
persistent,15,False
pattern,15,False
saturated,15,False
invest,15,False
phenomenon,14,False
present,14,True
cost,14,True
complete,14,True
step,14,True
right,14,True
direct,14,True
vitamin,14,False
fattening,14,False
decide,14,True
specific,14,True
goal,14,False
juice,14,True
parent,14,True
stable,14,False
act,14,True
equally,14,True
absorb,14,False
intestine,14,False
tissue,14,False
target,14,False
minnesota,14,False
severe,14,True
quick,14,True
chicken,14,True
cake,14,True
country,14,True
cohort,14,False
low-carb,14,False
force,14,True
ability,14,True
inhibitor,14,False
rest,14,True
company,14,True
seed,14,True
prevention,14,False
obes,14,False
hope,13,True
plan,13,True
real,13,True
ask,13,True
alcohol,13,True
base,13,True
...,13,True
fit,13,True
journal,13,False
macronutrients,13,False
overall,13,False
particular,13,True
might,13,True
institute,13,False
potato,13,False
century,13,True
scientific,13,True
suggest,13,True
serving,13,False
environment,13,False
behavior,13,False
determine,13,True
predict,13,False
false,13,True
slightly,13,True
processing,13,False
probably,13,True
ton,13,False
initiative,13,False
message,13,True
delicious,13,False
dieter,13,False
greek,13,True
promote,13,False
test,13,True
originally,13,True
reward,13,True
receptor,13,False
prolonged,13,True
enjoy,13,True
adrenalin,13,False
japan,13,False
caffeine,13,False
bar,13,True
cheap,13,True
antioxidant,13,True
follow-up,13,False
metab,13,False
intern,13,True
fifty,12,True
combine,12,False
limit,12,True
conclusion,12,True
kill,12,True
multifactorial,12,False
together,12,True
face,12,True
establish,12,True
various,12,True
similarly,12,False
causal,12,False
dangerous,12,True
therapy,12,False
light,12,True
banting,12,False
useful,12,True
occur,12,True
powerful,12,True
strong,12,True
percentage,12,False
induce,12,False
live,12,True
sugary,12,False
reach,12,True
soon,12,True
create,12,True
tradition,12,True
success,12,True
mother,12,True
incidence,12,True
habit,12,True
influence,12,True
candy,12,True
correlation,12,True
clear,12,True
survival,12,False
basic,12,False
advantage,12,True
fish,12,True
lipoprotein,12,False
mixed,12,True
amino,12,False
phase,12,False
power,12,True
respond,12,True
expensive,12,True
intervention,12,True
side,12,True
frequency,12,False
cheese,12,True
implication,12,True
exposure,12,False
class,12,True
prednisone,12,False
harmful,12,False
cooky,12,False
asian,12,False
teaspoon,12,False
skip,12,True
michael,12,True
subsidy,12,True
bean,12,False
int,12,False
appendix,11,True
complex,11,True
acknowledge,11,True
attempt,11,True
able,11,True
accept,11,True
framework,11,False
partially,11,False
survive,11,True
define,11,False
build,11,True
value,11,True
moderate,11,True
hot,11,True
education,11,True
sometimes,11,True
starchy,11,False
today,11,True
felt,11,True
else,11,True
pasta,11,False
red,11,True
trend,11,False
classic,11,False
place,11,True
size,11,True
thermogenesis,11,False
normally,11,True
adaptation,11,False
plant,11,True
coal,11,True
massive,11,False
randomize,11,False
put,11,True
anybody,11,True
vicious,11,False
old,11,True
general,11,True
student,11,True
sit,11,True
fight,11,True
widely,11,False
yes,11,True
sulfonylurea,11,False
twenty-four,11,False
mindfulness,11,False
artery,11,True
david,11,True
china,11,True
unrefined,11,False
component,11,False
supplement,11,False
lunch,11,True
salad,11,False
glass,11,True
sweeten,11,False
chinese,11,True
black,11,True
cinnamon,11,False
endocrinol,11,False
ann,11,False
mellitus,10,False
interest,10,True
observe,10,True
elevate,10,False
initial,10,False
range,10,True
bear,10,True
recommend,10,False
canada,10,True
authority,10,True
attention,10,True
along,10,True
anything,10,True
count,10,True
william,10,True
expert,10,False
willpower,10,False
chain,10,True
maintenance,10,False
instance,10,True
bring,10,True
prior,10,True
recommendation,10,False
death,10,True
substantially,10,False
recognize,10,True
widespread,10,True
away,10,True
run,10,True
blame,10,True
popularity,10,False
consistent,10,False
impossible,10,True
essentially,10,True
stimulus,10,False
roughly,10,False
survey,10,False
hold,10,True
correlate,10,False
law,10,True
majority,10,True
analogy,10,True
detail,10,True
adjust,10,False
walk,10,True
order,10,True
ratio,10,True
homeostasis,10,False
demonstrate,10,False
peptide,10,False
orange,10,True
access,10,True
harvard,10,False
eight,10,True
poor,10,True
clearly,10,True
activate,10,False
hypothalamus,10,False
gluconeogenesis,10,False
sure,10,True
serum,10,False
insulinoma,10,False
mild,10,True
abdominal,10,False
ice,10,True
shake,10,True
berry,10,False
steak,10,False
mortality,10,False
aspartame,10,False
agave,10,False
wine,10,True
suppl,10,False
diabesity,9,False
obviously,9,True
symptom,9,True
twenty,9,True
root,9,True
miss,9,True
achieve,9,False
suffer,9,True
belief,9,True
especially,9,True
rare,9,True
knowledge,9,True
clinic,9,False
cow,9,False
affect,9,False
imagine,9,True
regard,9,True
broccoli,9,False
search,9,True
society,9,True
forget,9,True
pure,9,True
issue,9,True
smart,9,True
environmental,9,False
opportunity,9,True
adoptive,9,False
identical,9,False
wild,9,True
except,9,True
variable,9,False
minimal,9,True
thermogenic,9,False
list,9,True
slowly,9,True
extract,9,False
block,9,True
equal,9,True
output,9,False
ago,9,True
action,9,True
meet,9,True
familiar,9,True
twelve,9,True
plateau,9,False
necessary,9,True
waist,9,True
reduced,9,True
decreased,9,False
estimate,9,True
principle,9,True
clinical,9,True
lot,9,True
suppress,9,False
molecule,9,False
lock,9,True
empty,9,True
elevated,9,False
complication,9,False
agent,9,True
stimulation,9,False
danger,9,True
cushing,9,False
carbohydrate-insulin,9,False
atherosclerosis,9,False
ludwig,9,False
fleming,9,False
timing,9,False
aid,9,True
heavily,9,True
acceptable,9,False
yogurt,9,False
rich,9,True
overconsumption,9,False
press,9,True
soluble,9,False
magnesium,9,False
lond,9,False
arch,9,False
introduction,8,True
deadly,8,True
sample,8,False
practical,8,True
author,8,True
thirty,8,True
correct,8,True
chance,8,True
special,8,True
argument,8,True
mind,8,True
unfortunately,8,True
biology,8,False
high-fat,8,False
endless,8,True
entirely,8,True
south,8,True
generation,8,True
nation,8,True
everybody,8,True
game,8,True
robert,8,True
smoking,8,True
fully,8,True
information,8,True
reference,8,True
rat,8,True
story,8,True
culprit,8,False
share,8,True
challenge,8,True
fresh,8,True
responsible,8,True
drinking,8,True
room,8,True
successful,8,True
cut,8,True
individual,8,True
weigh,8,True
serve,8,True
peter,8,True
discovery,8,True
buy,8,True
british,8,True
soft,8,True
conscious,8,True
decline,8,False
somehow,8,True
genetics,8,False
car,8,True
exertion,8,False
largely,8,True
feature,8,True
independent,8,True
dependent,8,False
primary,8,False
remember,8,True
ingest,8,False
peanut,8,True
constantly,8,True
vast,8,True
volunteer,8,False
usual,8,True
indeed,8,True
night,8,True
active,8,True
shut,8,True
persist,8,False
campaign,8,True
indicate,8,True
deal,8,True
ghrelin,8,False
design,8,True
sell,8,True
quality,8,True
ahead,8,True
compensation,8,True
relate,8,False
alone,8,True
sims,8,False
news,8,True
pork,8,False
fundamental,8,False
house,8,True
religion,8,True
hundred,8,True
pass,8,True
open,8,True
feeding,8,False
wallet,8,False
secrete,8,False
hypoglycemia,8,False
rapid,8,True
inflammatory,8,False
driver,8,True
plasma,8,False
analysis,8,False
exact,8,True
revolution,8,True
severely,8,False
controlled,8,False
fund,8,False
virus,8,False
chia,8,False
evolve,8,False
table,8,True
shelf,8,False
culture,8,True
potential,8,False
stevia,8,False
craving,8,False
framingham,8,False
avocado,8,False
fermentation,8,False
lchf,8,False
polyunsaturated,8,False
switch,8,True
dark,8,True
polyphenols,8,False
lancet,8,False
van,8,True
epub,8,False
eur,8,False
deception,7,False
paradox,7,True
protocol,7,False
guide,7,True
learn,7,True
underlying,7,False
interested,7,True
upon,7,True
finally,7,True
destroy,7,True
accord,7,False
unable,7,True
fault,7,True
alcoholism,7,False
aware,7,True
hand,7,True
carbs,7,False
literally,7,False
thousand,7,True
degree,7,True
numerous,7,True
rust,7,False
piece,7,True
die,7,True
replacement,7,True
shed,7,True
overfeed,7,False
negative,7,False
reasonable,7,True
possibility,7,True
home,7,True
and/or,7,False
generate,7,False
department,7,True
dollar,7,True
calcium,7,False
bestseller,7,False
hunt,7,True
stick,7,True
infection,7,False
unknown,7,True
prominent,7,True
closely,7,True
pay,7,True
gene,7,False
nonetheless,7,False
expose,7,False
adoptee,7,False
registry,7,False
sport,7,True
yield,7,True
comparison,7,True
basis,7,True
adapt,7,True
watermelon,7,True
examination,7,True
predominantly,7,False
regulation,7,False
pancreas,7,True
volume,7,True
digestion,7,False
tightly,7,True
hepatic,7,False
adrenal,7,False
stupid,7,True
cure,7,True
war,7,True
aspect,7,True
feeling,7,True
previous,7,True
measurement,7,False
hair,7,True
document,7,True
modification,7,True
cholecystokinin,7,False
purpose,7,True
area,7,True
peak,7,False
sedentary,7,True
european,7,True
organ,7,False
metabolize,7,False
technique,7,False
reduces,7,False
compensate,7,False
feltham,7,False
overeating,7,False
deliberately,7,False
retain,7,False
regulator,7,False
hypothalamic,7,False
damage,7,True
ideal,7,True
critical,7,True
novo,7,False
lipogenesis,7,False
circulation,7,True
feed,7,True
strongly,7,True
dose,7,True
estimated,7,False
mouth,7,True
incretins,7,False
digest,7,False
relief,7,True
spike,7,True
england,7,True
stillman,7,False
bernstein,7,False
slice,7,False
notice,7,True
japanese,7,False
cocaine,7,False
infusion,7,False
persistence,7,False
wake,7,True
frequently,7,True
monitor,7,False
oatmeal,7,False
sauce,7,False
indian,7,True
adulthood,7,False
newborn,7,False
concentration,7,False
contains,7,True
nurse,7,True
antidote,7,True
poison,7,True
cider,7,False
gastric,7,False
cephalic,7,False
paleo,7,False
spice,7,False
monounsaturated,7,False
ground,7,True
undergo,7,True
moderation,7,False
catechin,7,False
oxidation,7,False
ketone,7,False
continuous,7,False
plo,7,False
re,7,True
diabetologia,7,False
jason,6,False
strength,6,True
error,6,True
overfeeding,6,False
onslaught,6,False
social,6,True
hygiene,6,False
forty,6,True
profession,6,True
claim,6,True
deliberate,6,False
cognitive,6,False
outcome,6,False
structure,6,True
debate,6,False
surprisingly,6,True
pill,6,False
ornish,6,False
rarely,6,True
actual,6,True
gender,6,False
name,6,True
develops,6,False
hear,6,True
sick,6,True
introduce,6,True
central,6,True
physiology,6,True
flaw,6,False
beginning,6,True
unit,6,False
task,6,True
event,6,True
schedule,6,True
watch,6,True
girl,6,True
agree,6,True
agriculture,6,False
aim,6,True
obsess,6,False
identify,6,True
macronutrient,6,False
bulk,6,True
micronutrient,6,False
proportion,6,False
property,6,True
counting,6,False
convert,6,False
yudkin,6,False
line,6,True
enter,6,True
fatal,6,True
toward,6,True
toxic,6,False
considerably,6,False
computer,6,True
importance,6,True
stunkard,6,False
incomplete,6,True
tendency,6,True
twin,6,True
mention,6,True
incorrect,6,False
regularly,6,False
favor,6,True
profile,6,False
nonexercise,6,False
oxygen,6,False
finish,6,True
disorder,6,True
free,6,True
lipase,6,True
triglyceride,6,False
differ,6,False
greatly,6,True
thermodynamics,6,False
fuel,6,True
lung,6,False
excretion,6,True
colon,6,False
extreme,6,True
experimentally,6,False
nearly,6,True
ancel,6,False
psychological,6,False
fed,6,True
following,6,True
safety,6,True
preserve,6,True
zero,6,False
indefinitely,6,False
abandon,6,False
behind,6,True
ambitious,6,False
resist,6,True
double,6,True
fake,6,True
notion,6,True
organization,6,True
kingdom,6,True
typical,6,False
article,6,True
mid,6,True
cool,6,True
improved,6,True
grade,6,True
breakdown,6,False
leibel,6,False
derive,6,True
time-dependent,6,False
limited,6,True
door,6,True
supply,6,True
check,6,True
san,6,False
injection,6,False
hypoglycemic,6,False
emptying,6,False
alpha,6,False
modest,6,True
pain,6,True
substantial,6,True
dreaded,6,False
bloom,6,False
heller,6,False
pie,6,False
intermap,6,False
viral,6,False
subsequent,6,True
tolerance,6,False
intravenous,6,False
experimental,6,False
quinoa,6,False
sort,6,True
roll,6,True
cola,6,False
density,6,False
unhealthy,6,False
huge,6,True
legume,6,False
grind,6,True
benjamin,6,False
ten-year,6,False
necessarily,6,True
adolescent,6,False
processed,6,False
lactose,6,False
potassium,6,False
sucralose,6,False
nectar,6,False
alternative,6,False
insulin-stimulating,6,False
nutritious,6,False
amylopectin,6,False
tip,6,True
carb,6,False
inflammation,6,False
diet-heart,6,False
eliminate,6,False
rev,6,True
therapeutic,6,True
duncan,6,False
drenick,6,False
feast,6,True
assoc,6,False
adiposity,6,False
toronto,5,False
blog,5,False
dawn,5,True
realize,5,True
chronically,5,False
argue,5,True
contribution,5,False
hidden,5,True
ineffective,5,False
convince,5,True
scientist,5,False
art,5,True
divide,5,False
height,5,True
defend,5,True
helpful,5,False
relentless,5,False
view,5,True
rely,5,False
draw,5,True
hardly,5,True
illustrate,5,False
lion,5,True
afterward,5,True
mouse,5,False
nobody,5,True
expend,5,False
overcome,5,True
body-fat,5,False
carry,5,True
oppose,5,False
update,5,False
pamphlet,5,False
famous,5,True
father,5,True
substance,5,True
ingredient,5,False
letter,5,True
corpulence,5,False
foot,5,True
fairly,5,True
observation,5,True
gastrointestinal,5,False
villain,5,True
george,5,True
brother,5,True
one-third,5,False
champion,5,False
dramatically,5,False
characteristic,5,True
space,5,True
obesogens,5,False
discourage,5,False
perform,5,True
send,5,True
thrifty-gene,5,False
paleolithic,5,False
permit,5,True
fatter,5,False
fatness,5,False
buffet,5,False
enormous,5,True
precisely,5,True
post-exercise,5,False
depend,5,True
hormonally,5,False
fry,5,True
unregulated,5,False
hormones,5,False
dog,5,True
measurable,5,False
provoke,5,False
stool,5,False
carbohydrates,5,False
accumulation,5,False
deposit,5,False
thyroid,5,False
apply,5,True
nobel,5,False
semi-starvation,5,False
physiologic,5,False
scientifically,5,False
europe,5,True
inch,5,True
baseline,5,False
mile,5,True
tired,5,True
intense,5,True
ate,5,True
ensure,5,False
compliance,5,True
reality,5,True
tire,5,True
battle,5,True
gather,5,True
circumference,5,True
repeatedly,5,False
dramatic,5,True
desired,5,True
functional,5,True
past,5,True
cruel,5,True
orlistat,5,False
serious,5,True
toxicity,5,False
deficiency,5,True
sale,5,True
counter,5,True
island,5,True
recipe,5,False
hippocrates,5,False
council,5,True
aerobics,5,False
reveal,5,True
everywhere,5,True
northern,5,True
vigorous,5,True
cellular,5,False
complexity,5,False
becomes,5,True
twenty-five,5,True
mirror,5,True
overfed,5,False
heavy,5,True
record,5,True
propose,5,True
compensatory,5,False
heater,5,False
region,5,True
tumor,5,False
manufacture,5,False
outside,5,True
hypertension,5,False
smoke,5,True
mealtime,5,False
p.m.,5,False
bank,5,True
antonio,5,False
separate,5,True
episode,5,False
consistently,5,False
cover,5,True
gabapentin,5,False
gary,5,False
taubes,5,False
lustig,5,False
persistently,5,False
exist,5,True
contrary,5,True
front,5,True
steadily,5,True
nine,5,True
pennington,5,False
worry,5,True
addict,5,False
enshrine,5,False
internal,5,True
spinach,5,False
holiday,5,True
eater,5,False
dwarf,5,True
specifically,5,False
starve,5,False
bacteria,5,False
penicillin,5,False
absence,5,True
pre-diabetes,5,False
chest,5,True
alternate,5,False
insulin-dominant,5,False
sponsorship,5,False
sponsor,5,False
snacking,5,False
proof,5,True
norepinephrine,5,False
salmon,5,False
instant,5,True
west,5,True
additive,5,False
giant,5,True
combination,5,True
package,5,False
tax,5,True
surge,5,False
maternal,5,True
remedy,5,True
repeat,5,True
spock,5,False
coca,5,False
substitute,5,False
compose,5,False
liquid,5,False
net,5,True
artificially,5,False
hit,5,True
observational,5,False
tortilla,5,False
gluten,5,False
bran,5,False
canadian,5,False
refining,5,False
sour,5,False
acetic,5,False
dilute,5,False
soak,5,True
nutritionally,5,False
unbalanced,5,False
nutritionism,5,False
suggestion,5,True
relation,5,True
lipid,5,False
label,5,False
low-density,5,False
singapore,5,False
ginger,5,True
electrolyte,5,False
gently,5,True
cramp,5,True
suppression,5,False
dizziness,5,False
headache,5,False
constipation,5,True
breath,5,True
publishing,5,False
silver,5,True
spring,5,True
ibid,5,False
postprandial,5,False
editor,5,True
middle-aged,5,False
popkin,5,False
johnston,5,False
mozaffarian,5,False
copyright,5,True
code,4,False
secret,4,True
dedicate,4,False
renal,4,False
apparent,4,True
final,4,True
gradually,4,True
bitter,4,True
strive,4,False
lecture,4,False
utterly,4,True
currently,4,False
erroneous,4,False
inevitably,4,False
offer,4,True
equivalent,4,True
literature,4,True
shock,4,True
evidence-based,4,False
logical,4,False
stunning,4,False
importantly,4,False
potentially,4,False
effectiveness,4,False
routine,4,False
calculate,4,False
triple,4,False
unique,4,False
bit,4,True
read,4,True
listen,4,True
opinion,4,True
exception,4,True
exclusive,4,True
manage,4,True
statement,4,True
decision,4,True
grass,4,True
explanation,4,True
vitally,4,False
improvement,4,True
forth,4,True
future,4,True
weak,4,True
suspect,4,True
whereas,4,True
gravity,4,False
patch,4,False
unspoken,4,False
chip,4,True
character,4,True
reflection,4,True
universal,4,True
rediscover,4,False
talk,4,True
rose,4,True
administration,4,True
formerly,4,True
vs.,4,False
expectancy,4,False
reinforce,4,False
male,4,True
advocate,4,True
precise,4,False
availability,4,False
cauliflower,4,False
adoption,4,False
ironically,4,False
fad,4,True
high-carbohydrate,4,False
controversy,4,False
fast-food,4,False
restaurant,4,True
voluntary,4,False
impact,4,False
danish,4,False
organize,4,False
scarce,4,True
all-you-can-eat,4,False
preferentially,4,False
prey,4,True
full.,4,True
coconut,4,False
regardless,4,False
industrialization,4,False
routinely,4,False
detrimental,4,False
trigger,4,False
exert,4,True
minor,4,False
consciously,4,False
breathe,4,True
remind,4,True
homeostatic,4,False
adipose,4,False
desk,4,True
kind,4,True
building,4,True
nhanes,4,False
scale,4,True
hirsch,4,False
cognition,4,False
distribution,4,True
automatically,4,False
budget,4,False
sudden,4,True
luckily,4,True
detailed,4,False
recovery,4,False
thirty-six,4,False
continually,4,True
difficulty,4,False
nail,4,True
concentrate,4,True
immediate,4,True
movement,4,True
burning,4,True
lost,4,True
initially,4,False
match,4,True
resume,4,False
rush,4,True
silently,4,True
bos,4,False
handle,4,True
job,4,True
hop,4,True
portion-control,4,False
worst,4,True
series,4,True
copy,4,True
otherwise,4,True
succeed,4,True
centimeter,4,False
waist-to-hip,4,False
accompany,4,True
dream,4,True
amplify,4,False
paradigm,4,False
trouble,4,True
olestra,4,False
magazine,4,True
safe,4,True
relentlessly,4,False
worldwide,4,False
dutch,4,True
television,4,True
pretty,4,True
pontzer,4,False
hadza,4,False
fox,4,False
vital,4,True
etc,4,True
cooking,4,False
comprehensive,4,True
kid,4,True
launch,4,False
u.k.,4,False
interesting,4,True
balloon,4,False
sufficient,4,True
ample,4,True
stuff,4,True
fee,4,True
manner,4,True
surprise,4,True
dominant,4,True
temporarily,4,False
air,4,True
alfred,4,False
diagnose,4,False
hervey,4,False
administer,4,True
causality,4,False
rational,4,False
gut,4,True
conduct,4,True
element,4,True
deliver,4,True
gland,4,True
rapidly,4,True
uptake,4,True
bloodstream,4,False
fill,4,True
deplete,4,False
synthesize,4,True
sustained,4,False
